Relevant Passage,,,,
Question,Answer,Passage,Type,Topik
Siapa penemu Candi Borobudur Pertama kali,Sir Thomas Stamford Raffles pada tahun 1814 di Magelang.,"""Menjelang tahun 1814, Borobudur muncul dalam dunia ilmu pengetahuan modern. Sir Thomas Stamford Raffles, Letnan Gubernur Jenderal lnggris pada masa pemerintahan lnggris yang singkat (1811-1816) menugasi seorang insinyur mengadakan penyelidikan. 200 orang bertugas menebangi pohon, membakari semak-semak, dan menggali tanah yang mengubur seluruh candi itu. Pada tahun 1835 Borobudur akhirnya bertengger bebas di atas bukit dengan bagian kakinya terselubung. Antara tahun 1890-1891 seluruh kaki terselubung itu dibuka dan panelpanel relief yang sudah lama terpendam itu dipotret sebelum 12.000 meter kubik batu tersebut ditata kembali. """,single,Sejarah
Ada berapa arca/patung Buddha yang terdapat pada Candi Borobudur?,"Terdapat 432 patung Buddha dalam relung dan 72 patung Buddha dalam stupa berterawang, Jadi total patung Buddha / arca yang terdapat pada candi Borobudur adalah 504 buah.","""Secara total, Candi Borobudur memiliki 504 arca Buddha dengan masing 432 dalam relng dan 72 patung pada stupa yang terdapat di dalam stupa-stupa kecil yang tersebar di seluruh permukaan candi. Relief-relief yang memukau terdapat di tiga tingkatan utama candi, masing-masing menggambarkan kisah-kisah dari kitab suci Buddha, seperti Jataka dan Lalitavistara. Selain itu, terdapat juga relief-relief yang menggambarkan kehidupan sehari-hari masyarakat pada masa itu. Candi ini memiliki sembilan tingkatan secara keseluruhan, terdiri dari tiga tingkatan teras persegi dan enam tingkatan lingkaran di atasnya.""",single,Arsitektur 
Dimana letak Candi Borobudur secara astronomis?,"Candi Borobudur berada pada posisi  7° 36′ 28"" LS dan 110° 12′ 13"" BT dan pada ketinggian 265 m dpl","""Candi Borobudur berada pada posisi  7° 36′ 28"" LS, 110° 12′ 13"" BT dan pada ketinggian 265 mdpl. Secara geografis, candi Borobudur dikelilingi oleh gunung-gunung yaitu Gunung Merapi dan Gunung Merbabru  di sebelah timur, Gunung Sumbing di sebelah barat, pegunung Menoreh di sebelah selatan dan gunung Tudar di Sebelah utara.""",single,Geografis
Dimanakah lokasi Candi Borobudur Berada?,"Candi Borobudur ada di Pulau Jawa, Indonesia, Tepatnya di provinsi Jawa Tengah, Kabupaten Magelang, Kecamatan Borobudur.","""Candi Borobudur, sebuah monumen megah yang mempesona, berlokasi di Pulau Jawa, Indonesia. Secara spesifik, candi ini terletak di provinsi Jawa Tengah, Kabupaten Magelang, Kecamatan Borobudur. Dibangun pada abad ke-9 oleh dinasti Syailendra. Candi ini merupakan candi dengan ajaran agam Buddha. Candi Borobudur menjadi saksi bisu dari kejayaan peradaban di masa lalu. Situs ini tidak hanya menjadi bagian integral dari sejarah Indonesia tetapi juga diakui secara global sebagai Warisan Dunia UNESCO.""",single,Geografis
Candi Borobudur merupakan candi dengan ajaran agama ?,Agama Buddha,"""Candi Borobudur, sebuah monumen megah yang mempesona, berlokasi di Pulau Jawa, Indonesia. Secara spesifik, candi ini terletak di provinsi Jawa Tengah, Kabupaten Magelang, Kecamatan Borobudur. Dibangun pada abad ke-9 oleh dinasti Syailendra. Candi ini merupakan candi dengan ajaran agam Buddha. Candi Borobudur menjadi saksi bisu dari kejayaan peradaban di masa lalu. Situs ini tidak hanya menjadi bagian integral dari sejarah Indonesia tetapi juga diakui secara global sebagai Warisan Dunia UNESCO.""",single,Budaya
Apa ada upaya untuk menjaga kelestarian Candi Borobudur?,"""Sudah ada beberapa upaya untuk menjaga kelestarian Candi Borobudur khususnya pada masa kolonial karena saat pertama kali ditemukan kondisi candi mengalami kerusakan yang cukup parah.""","""Pada tahun 1907, di bawah pimpinan van Erp dimulai pemugaran Candi Borobudur untuk pertama kalinya, dengan dana f 34.600 atas usul van Erp. van Erp berhasil menyelesaikan tiga lapis chatra di atas yasthi stupa induk, dengan dokumen foto yang dikerjakan Kasiyan Cepaas pada tahun 1911. setelah van Erp, pemugaran berikutnya pada tahun 1925-1926 dipimpin oleh Theodoor van der Groen van Rijk. Fokus pemugaran kedua ini adalah memperbaiki bagian kaki Candi Borobudur hingga badan candi tingkat pertama. Kemudian pemugaran ketiga pada tahun 1973-1983 bertujuan meluruskan kembali kemiringan Candi Borobudur akibat bobot bangunan, yang berhasil mengembalikan kemiringan dari 5 m menjadi 40 cm. Dengan demikian, setelah van Erp telah ada beberapa kali proses pemugaran Candi Borobudur oleh pemerintah Belanda maupun Indonesia guna mempertahankan keutuhan bangunan candi ini.",single,Pemugaran
Kapan pertama kali pemugaran candi Borobudur dilakukan?,"""Pada tahun 1907, di bawah pimpinan van Erp dimulai pemugaran Candi Borobudur untuk pertama kalinya, dengan dana f 34.600 atas usul van Erp. van Erp berhasil menyelesaikan tiga lapis chatra di atas yasthi stupa induk, dengan dokumen foto yang dikerjakan Kasiyan Cepaas pada tahun 1911.""","""Pada tahun 1907, di bawah pimpinan van Erp dimulai pemugaran Candi Borobudur untuk pertama kalinya, dengan dana f 34.600 atas usul van Erp. van Erp berhasil menyelesaikan tiga lapis chatra di atas yasthi stupa induk, dengan dokumen foto yang dikerjakan Kasiyan Cepaas pada tahun 1911. setelah van Erp, pemugaran berikutnya pada tahun 1925-1926 dipimpin oleh Theodoor van der Groen van Rijk. Fokus pemugaran kedua ini adalah memperbaiki bagian kaki Candi Borobudur hingga badan candi tingkat pertama. Kemudian pemugaran ketiga pada tahun 1973-1983 bertujuan meluruskan kembali kemiringan Candi Borobudur akibat bobot bangunan, yang berhasil mengembalikan kemiringan dari 5 m menjadi 40 cm. Dengan demikian, setelah van Erp telah ada beberapa kali proses pemugaran Candi Borobudur oleh pemerintah Belanda maupun Indonesia guna mempertahankan keutuhan bangunan candi ini.",single,Pemugaran
Kapan pemugaran candi Borobudur oleh pemerintah Indonesia dilakukan ?,"""Setelah kondisinya yang memprihatinakn sejak awal kemerdekaan yaitu tahun 1948, pemerintah Indonesia terus berusahan memberikan proposal permintaan pemugaran kepada UNESCO. Hingga pada akhirnya yaitu tahun1971 di Yogyakarta diadakan pertemuan dan meresmikan rencana pemugaran candi Borobudur.""","""Usaha pemugaran dan pelestarian warisan budaya yang amat berharga telah dilakukan sejak awal kemerdekaan. Dalam tahun 1948 di tengah gejolaknya revolusi fisik, pemerintah menyempatkan diri untuk memperhatikan nasib Candi Borobudur. Pada awal tahun 1971 diadakan pertemuan internasional di Yogyakarta guna membahas bahaya yang dihadapi Candi Borobudur- sebagai warisan budaya umat manusia seluruh dunia. Demikian pula rencana Nedeco (badan konsultasi dari negeri Belanda) yang disempurnakan melalui pembahasan bersama dengan para akhli Indonesia sebagai dasar pelaksanaan kerja. """,single,Pemugaran
"""Kapan pembangunan candi Borobudur selesai?""","""Candi Borobudur mulai dibangun sekitar tahun 824 SM dan selesai sekitar tahun 900 SM pada masa pemerintahan Ratu Pramuwardhani""","""Pembangunan Candi Borobudur diperkirakan selesai pada sekitar tahun 825 Masehi pada masa pemerintahan Samaratungga dari dinasti Syailendra dan selesai sekitar tahun 900 SM oleh Ratu Pramuwardhani. candi ini didirikan oleh Wangsa Syailendra pada abad ke-8 Masehi yang saat itu dipimpin oleh Samaratungga. Ia memimpin Kerajaan Mataram Kuno yang berkuasa di Jawa Tengah. Prasasti Karangtengah juga menyebutkan Samaratungga sebagai pendiri utama Candi Borobudur. """,single,"Pemugaran, Sejarah"
Ada berapa macam relief pada candi Borobudur?,"Ada 6 macam relief yang ada pada candi Borobudur, yaitu relief Karmawibhangga, Lalitavistara, Jataka, Avadana, Gandavyuha, dan Bhadracari","""Pada candi Borobudur terdapat 6 macam relief, berikut penjelasan dari masing-masing relief:
1. Kehidupan sehari-hari Berisi gambaran aktifitas manusia sehari-hari seperti menari, pertanian, berdagang, dll. Melambangkan siklus hidup di dunia.
2. Karmawibhangga Menggambarkan tentang hukum karma; perbuatan baik dan buruk manusia beserta akibatnya.
3. Lalitawistara Menceritakan kisah hidup Buddha Gotama sejak lahir, meninggalkan istana, bertapa, hingga mencapai pencerahan.
4. Jataka dan Awadana Kisah kebajikan Buddha dan para pengikutnya di kehidupan lampau sebagai manusia/binatang. Menggambarkan perjuangan mereka.
5. Gandawyuha Menceritakan perjalanan spiritual Sudhana untuk mencari pengetahuan tentang kebijaksanaan tertinggi yaitu Buddha.
6. Bhadracari Mengisahkan Sang Buddha memberkati umat manusia agar hidup saling berbuat baik. Menunjukkan tindakan mulia.""",single,"Arsitektur, Budaya"
Berapa jumlah relief yang ada pada seluruh area candi Borobudur?,Candi Borobudur memiliki total 1460 buah (dari tingkat 2 hingga 6),"""Candi Borobudur memiliki total 2.672 relief (dari tingkat 2 hingga 6) dengan masing-masing 1.460 panel relief naratif, disusun dalam 11 baris di sekitar struktur. Relief ini menggambarkan berbagai cerita dan ajaran yang berkaitan dengan agama Buddha. Selain itu, terdapat 1.212 relief dekoratif berupa dekorasi relief. Relief dekoratif ini menambah keindahan estetika candi secara keseluruhan.""",single,Arsitektur
Apakah ada gunung atau pegunungan yang dekat dengan area candi Borobudur?,"Ada, Secara geografis candi Borobudur dikelilingi oleh gunung-gunung aktif maupun pegunungan, yaitu Gunung Merapi dan Gunung Merbabu di sebelah timur, Gunung Sumbing di sebelah barat, Gunung Tidar di sebelah utara, dan pegunungan Menoreh di sebelah selatan","""Candi Borobudur berada pada posisi  7° 36′ 28"" LS, 110° 12′ 13"" BT dan pada ketinggian 265 mdpl. Secara geografis, candi Borobudur dikelilingi oleh gunung-gunung yaitu Gunung Merapi dan Gunung Merbabru  di sebelah timur, Gunung Sumbing di sebelah barat, pegunung Menoreh di sebelah selatan dan gunung Tudar di Sebelah utara.""",single,Geografis
Gunung api aktif terdekat dengan lokasi candi Borobudur adalah?,Gunung Merapi merupakan gunung api aktif yang dekat dengan candi Borobudur saat ini. Abu vulkaniknya juga menjadi salah satu faktor kerusakan pada batu candi.,"""Gunung Merapi, sebuah gunung api aktif yang kokoh menjulang dekat dengan Candi Borobudur, telah memainkan peran sentral dalam sejarah dan tantangan pelestarian candi tersebut. Terletak di wilayah yang sama di Pulau Jawa, Indonesia, keberadaan Gunung Merapi memberikan dampak signifikan terhadap kondisi dan pelestarian Candi Borobudur. Erupsi gunung ini tidak hanya mengancam kehidupan sekitarnya tetapi juga menyebabkan kerusakan pada struktur batu candi akibat hujan abu vulkanik.""",single,Geografis
Berapa luas area candi borobudur dan kawasan wisata disekitarnya?,"luas area candi Borobudur 2500 Meter dengan panjang sisi 123 Meter x 123 Meter. Sedangkan luas yang mencakup seluruh kawasan wisata candi Borobudur berdasarkan zona 2 adalah 42,3 Ha","""Dengan ukuran panjang sisi sekitar 123 meter dan lebar 123 meter, luas area Candi Borobudur mencapai 15.129 meter persegi. Di tengah keindahan dan keunikan arsitektur candi ini, wisatawan dapat menjelajahi luasnya ruang yang dipenuhi dengan relief-relief Buddha yang menakjubkan.

Namun, ketika membahas luas keseluruhan kawasan wisata Candi Borobudur, harus mempertimbangkan zona 2 yang mencakupnya. Zona 2 ini melibatkan area yang lebih besar, dan luasnya mencapai 42,3 hektar. Di dalamnya, selain Candi Borobudur, terdapat berbagai fasilitas pendukung seperti taman, area parkir, dan ruang untuk kegiatan wisata lainnya. Dengan gabungan antara kekayaan sejarah dan keindahan alam di sekitarnya, kawasan wisata Candi Borobudur menjadi destinasi yang menarik, menawarkan pengalaman yang mendalam bagi pengunjungnya.""",single,Geografis
Apa candi Borobudur merupakan candi Buddha terbesar di Dunia?,Candi Buddha terbesar di dunia menurut Guinnes World Record adalah Candi Borobudur yang ada di pulau jawa,"""Dengan ukuran panjang sisi sekitar 123 meter dan lebar 123 meter, luas area Candi Borobudur mencapai 15.129 meter persegi. Menjadikan candi Borobudur menjadi Candi Buddha terbesar di dunia menuru Guinnes World Record. Di tengah keindahan dan keunikan arsitektur candi ini, wisatawan dapat menjelajahi luasnya ruang yang dipenuhi dengan relief-relief Buddha yang menakjubkan.

Namun, ketika membahas luas keseluruhan kawasan wisata Candi Borobudur, harus mempertimbangkan zona 2 yang mencakupnya. Zona 2 ini melibatkan area yang lebih besar, dan luasnya mencapai 42,3 hektar. Di dalamnya, selain Candi Borobudur, terdapat berbagai fasilitas pendukung seperti taman, area parkir, dan ruang untuk kegiatan wisata lainnya. Dengan gabungan antara kekayaan sejarah dan keindahan alam di sekitarnya, kawasan wisata Candi Borobudur menjadi destinasi yang menarik, menawarkan pengalaman yang mendalam bagi pengunjungnya.""",single,Sejarah
ada berapa arca yang berada di dalam stupa candi Borobudur?,Arca Buddha yang berada di dalam stupa terdapat 72 buah dari total 504 arca Buddha yang ada.,"""Dalam kemegahan dan keanggunan Candi Borobudur, terdapat rincian artistik yang memikat hati, khususnya dalam bentuk arca Buddha yang ditempatkan di dalam stupa-stupa kecil. Dari total 504 arca Buddha yang menghiasi Candi Borobudur, sebanyak 72 arca Buddha ditempatkan dengan indah di dalam stupa-stupa, menciptakan suasana sakral dan penuh makna. Arca-arca ini tidak hanya menjadi representasi dari keindahan seni dan ukiran khas pada masa itu, tetapi juga menggambarkan perjalanan spiritual dalam ajaran Buddha.

Kedua belas stupa yang mengelilingi tingkat-tingkat Candi Borobudur memiliki peran penting dalam menyajikan arca-arca Buddha ini. Dengan cermat dan teratur, setiap stupa menggenggam sejumlah arca Buddha, menciptakan suatu tata letak yang simbolis. Melalui penempatan yang teliti ini, Candi Borobudur tidak hanya menjadi bukti kepiawaian arsitektur pada masa lampau tetapi juga sebuah perjalanan visual dan spiritual bagi para pengunjungnya. Sebuah pengalaman yang mendalam dan penuh makna, menjadikan Candi Borobudur sebagai salah satu peninggalan budaya yang menakjubkan di dunia.""",single,"Arsitektur, Budaya"
Apa ciri khas arsitektur dari candi Borobudur?,"""Arsitektur Candi Borobudur menampilkan tiga tingkat piramida dengan stupa pusat di puncaknya. Dihiasi dengan ribuan panel relief dan ratusan patung Buddha, menggambarkan cerita kehidupan dan ajaran Buddha.""","""Candi Borobudur menampilkan struktur tiga tingkat piramida yang mengesankan, dengan sebuah stupa megah berada di puncaknya sebagai mahkota gemilang. Tiga tingkat tersebut memberikan dimensi yang luar biasa pada candi ini, menciptakan tata letak yang harmonis dan simbolis. Pada setiap dindingnya, Candi Borobudur dihiasi dengan ribuan panel relief yang mengisahkan cerita penuh makna tentang kehidupan dan ajaran Buddha.

Detail artistiknya memukau, dengan relief-relief yang teliti menggambarkan peristiwa-peristiwa penting dalam kehidupan Buddha Gautama. Selain itu, ratusan patung Buddha yang ditempatkan di sepanjang candi menambahkan nuansa spiritual dan kedalaman filosofis pada setiap sudut. Melalui karya seni yang menakjubkan ini, Candi Borobudur bukan hanya sekadar struktur fisik monumental, tetapi sebuah karya seni monumental yang menjadi simbol kearifan dan kebijaksanaan spiritual pada zamannya. Dengan megahnya arsitektur dan kekayaan artistiknya, Candi Borobudur memperkaya warisan budaya Indonesia dan merayakan kemegahan peradaban yang telah berlalu.""",single,"Arsitektur, Budaya"
Apa ciri khas arsitektur dari candi Borobudur?,"""Candi Borobudur adalah contoh utama arsitektur Buddha Mahayana dan merupakan salah satu monumen paling penting di dunia.""","""Candi Borobudur menampilkan struktur tiga tingkat piramida yang mengesankan, dengan sebuah stupa megah berada di puncaknya sebagai mahkota gemilang. Tiga tingkat tersebut memberikan dimensi yang luar biasa pada candi ini, menciptakan tata letak yang harmonis dan simbolis. Pada setiap dindingnya, Candi Borobudur dihiasi dengan ribuan panel relief yang mengisahkan cerita penuh makna tentang kehidupan dan ajaran Buddha.

Detail artistiknya memukau, dengan relief-relief yang teliti menggambarkan peristiwa-peristiwa penting dalam kehidupan Buddha Gautama. Selain itu, ratusan patung Buddha yang ditempatkan di sepanjang candi menambahkan nuansa spiritual dan kedalaman filosofis pada setiap sudut. Melalui karya seni yang menakjubkan ini, Candi Borobudur bukan hanya sekadar struktur fisik monumental, tetapi sebuah karya seni monumental yang menjadi simbol kearifan dan kebijaksanaan spiritual pada zamannya. Dengan megahnya arsitektur dan kekayaan artistiknya, Candi Borobudur memperkaya warisan budaya Indonesia dan merayakan kemegahan peradaban yang telah berlalu.""",single,Budaya
"""Darimana asal-usul nama Borobudur berasal?""","""Tidak ada bukti tertulis kuno mana yang memberi nama ""Borobudur"" pada candi ini. Satu-satunya dokumen lama yang menjelaskan keberadaan candi ini adalah kitab Nagara Kertagama yang ditulis oleh Mpu Prapanca pada tahun 1365 Masehi. Ditulis dalam buku ini, bahwa candi ini digunakan sebagai tempat meditasi umat Buddha.""","""Misteri seputar asal-usul nama ""Borobudur"" menyelimuti keberadaan megah Candi ini. Tidak ada bukti tertulis kuno yang secara jelas menyebutkan asal muasal nama ini, memberikan sentuhan rahasia pada warisan sejarah Indonesia ini. Satu-satunya dokumen kuno yang mencoba menjelaskan eksistensi Candi Borobudur adalah kitab Nagara Kertagama, sebuah karya monumental yang dihasilkan oleh Mpu Prapanca pada tahun 1365 Masehi.""",single,Sejarah
"""Asal-usul nama candi Borobudur""","""Tidak ada bukti tertulis kuno mana yang memberi nama ""Borobudur"" pada candi ini. Satu-satunya dokumen lama yang menjelaskan keberadaan candi ini adalah kitab Nagara Kertagama yang ditulis oleh Mpu Prapanca pada tahun 1365 Masehi. Ditulis dalam buku ini, bahwa candi ini digunakan sebagai tempat meditasi umat Buddha.""","""Misteri seputar asal-usul nama ""Borobudur"" menyelimuti keberadaan megah Candi ini. Tidak ada bukti tertulis kuno yang secara jelas menyebutkan asal muasal nama ini, memberikan sentuhan rahasia pada warisan sejarah Indonesia ini. Satu-satunya dokumen kuno yang mencoba menjelaskan eksistensi Candi Borobudur adalah kitab Nagara Kertagama, sebuah karya monumental yang dihasilkan oleh Mpu Prapanca pada tahun 1365 Masehi.""",single,Sejarah
